var;plot_id;spike;flower;small;medium;large;total
Capone;36;1;2;0;0;0;0
Capone;36;2;2;0;0;0;0
Capone;36;3;4;1;2, 3;0;3
Capone;36;4;4;1, 2;0;0;2
Capone;36;5;4;1, 2, 3;0;0;3
Capone;36;6;5;1, 2, 3;0;0;3
Capone;36;7;6;1, 2, 3;0;0;3
Capone;36;8;6;1, 2, 4;3;0;4
Capone;36;9;6;1, 2, 3, 4;0;0;4
Capone;36;10;5;1, 2;3;0;3
Capone;36;11;5;2, 3, 4;1;0;4
Capone;36;12;5;1, 2, 3;0;0;3
Capone;36;13;5;1, 2, 3;0;0;3
Capone;36;14;6;1, 2, 3, 4;0;0;4
Capone;36;15;5;1, 2, 3;0;0;3
Capone;36;16;4;1, 2, 3;0;0;3
Capone;36;17;4;1, 2, 3;0;0;3
Capone;36;18;4;2;1;0;2
Capone;36;19;3;2;1;0;2
;;;;;;;
;;;;;;;
