var;plot_id;spike;flower;small;medium;large;total
Capone;36;1;1;0;0;0;0
Capone;36;2;4;1, 2;0;0;2
Capone;36;3;4;1, 3;2;0;3
Capone;36;4;4;1, 2, 3;0;0;3
Capone;36;5;5;1, 2;0;3;3
Capone;36;6;5;1, 2, 4;0;3;4
Capone;36;7;5;1, 2, 3,4;0;0;4
Capone;36;8;6;1, 2, 3, 4;0;0;4
Capone;36;9;5;1, 2, 3;0;0;3
Capone;36;10;6;1, 2, 3, 4;0;0;4
Capone;36;11;5;1, 3, 4;2;0;4
Capone;36;12;5;1, 2, 3;0;0;3
Capone;36;13;6;1, 2, 3, 4;0;0;4
Capone;36;14;6;1, 2, 4;3;0;4
Capone;36;15;4;1, 2, 3;0;0;3
Capone;36;16;4;1, 2,;0;0;2
Capone;36;17;5;2, 3, ;1;0;3
Capone;36;18;4;2;1;0;2
Capone;36;19;2;1;0;0;1
Eren;36;20;3;1, 2;0;0;2
;;;;;;;
