var;plot_id;spike;flower;small;medium;large;total
Capone;36;1;1-aborted;0;0;0;0
Capone;36;2;4;0;0;0;0
Capone;36;3;4;0;0;0;0
Capone;36;4;4;0;0;0;0
Capone;36;5;5;0;0;0;0
Capone;36;6;5;0;0;0;0
Capone;36;7;5;0;0;0;0
Capone;36;8;5;0;0;0;0
Capone;36;9;5;0;0;0;0
Capone;36;10;6;0;0;0;0
Capone;36;11;6;0;0;0;0
Capone;36;12;5;0;0;0;0
Capone;36;13;5;0;0;0;0
Capone;36;14;6;0;0;0;0
Capone;36;15;5;0;0;0;0
Capone;36;16;5;0;0;0;0
Capone;36;17;5;0;0;0;0
Capone;36;18;4;0;0;0;0
Capone;36;19;5;0;0;0;0
Capone;36;20;3;0;0;0;0
Capone;36;21;3;0;0;0;0
